Module,Path,baseline,node22,node20,node18,bun,deno,workerd,wranglerUnenv
,,,22.14.0,4.5.1,1.2.0,2.2.8,d3cd504
*globals*,console._stderr.isPaused,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.iterator,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.listenerCount,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr.listeners,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr.localAddress,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.localFamily,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.localPort,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.map,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.off,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr.on,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr.once,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr.pause,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.pending,supported,supported,unsupported,supported,unsupported,unsupported
*globals*,console._stderr.pipe,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr.prependListener,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr.prependOnceListener,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr.push,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.rawListeners,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr.read,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.readable,supported,supported,unsupported,supported,unsupported,unsupported
*globals*,console._stderr.readableAborted,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.readableBuffer,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.readableDidRead,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.readableEncoding,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.readableEnded,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.readableFlowing,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.readableHighWaterMark,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.readableLength,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.readableObjectMode,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.readyState,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.reduce,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.ref,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.remoteAddress,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.remoteFamily,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.remotePort,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.removeAllListeners,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr.removeListener,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr.resetAndDestroy,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.resume,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.server,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.setDefaultEncoding,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr.setEncoding,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.setKeepAlive,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.setMaxListeners,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr.setNoDelay,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.setTimeout,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.some,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.take,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.toArray,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.uncork,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr.unpipe,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.unref,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.unshift,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.wrap,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.writable,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr.writableBuffer,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr.writableCorked,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr.writableEnded,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr.writableFinished,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr.writableHighWaterMark,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr.writableLength,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr.writableNeedDrain,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr.writableObjectMode,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr.write,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderrErrorHandler,supported,supported,stub,unsupported,unsupported,unsupported
*globals*,console._stdout.*self*,supported,supported,supported,supported,supported,unsupported
*globals*,console._stdout._bytesDispatched,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stdout._closeAfterHandlingError,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stdout._connecting,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stdout._destroy,supported,supported,supported,supported,supported,unsupported
*globals*,console._stdout._events,supported,supported,supported,supported,supported,unsupported
*globals*,console._stdout._eventsCount,supported,supported,supported,supported,supported,unsupported
*globals*,console._stdout._final,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stdout._getpeername,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stdout._getsockname,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stdout._hadError,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stdout._handle,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stdout._host,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stdout._isStdio,supported,supported,unsupported,supported,supported,unsupported
*globals*,console._stdout._maxListeners,supported,supported,supported,supported,supported,unsupported
*globals*,console._stdout._onTimeout,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stdout._parent,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stdout._pendingData,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stdout._pendingEncoding,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stdout._read,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stdout._readableState,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stdout._reset,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stdout._server,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stdout._sockname,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stdout._type,supported,supported,unsupported,supported,unsupported,unsupported
*globals*,console._stdout._undestroy,supported,supported,supported,supported,supported,unsupported
*globals*,console._stdout._unrefTimer,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stdout._writableState,supported,supported,supported,supported,supported,unsupported
*globals*,console._stdout._write,supported,supported,supported,supported,supported,unsupported
*globals*,console._stdout._writeGeneric,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stdout._writev,supported,supported,mismatch,mismatch,mismatch,unsupported
*globals*,console._stdout.addListener,supported,supported,supported,supported,supported,unsupported
*globals*,console._stdout.address,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stdout.allowHalfOpen,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stdout.asIndexedPairs,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stdout.bufferSize,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stdout.bytesRead,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stdout.bytesWritten,supported,supported,unsupported,supported,unsupported,unsupported
*globals*,console._stdout.closed,supported,supported,supported,supported,supported,unsupported
*globals*,console._stdout.compose,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stdout.connect,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stdout.connecting,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stdout.cork,supported,supported,supported,supported,supported,unsupported
*globals*,console._stdout.destroy,supported,supported,supported,supported,supported,unsupported
*globals*,console._stdout.destroySoon,supported,supported,unsupported,supported,supported,unsupported
*globals*,console._stdout.destroyed,supported,supported,supported,supported,supported,unsupported
*globals*,console._stdout.domain,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stdout.drop,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stdout.emit,supported,supported,supported,supported,supported,unsupported
*globals*,console._stdout.end,supported,supported,supported,supported,supported,unsupported
*globals*,console._stdout.errored,supported,supported,supported,supported,supported,unsupported
*globals*,console._stdout.eventNames,supported,supported,supported,supported,supported,unsupported
*globals*,console._stdout.every,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stdout.fd,supported,supported,unsupported,supported,supported,unsupported
*globals*,console._stdout.filter,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stdout.find,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stdout.flatMap,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stdout.forEach,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stdout.getMaxListeners,supported,supported,supported,supported,supported,unsupported
*globals*,console._stdout.isPaused,supported,supported,unsupported,unsupported,unsupported,unsupported
